trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",20,0,12.276685584206374,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,0,15.321526963086686,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,12,2.211834911476946,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,0,-1.8120638446849084,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,11,15.744544516324376,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,7,-15.236465533517585,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,0,23.919303023189595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,10,17.710582871276625,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,1,27.385727198609782,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",30,12,-32.4999947204797,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,9,-4.346904389222409,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,20,17.029117228580716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,11,-1.8952085257061926,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",25,16,12.778905155298323,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",25,11,-14.989325973252855,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,10,-23.523297700027793,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,0,12.733676188326568,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
